accuracy,precision,recall,f1,roc_auc,pr_auc,Model,CV_Folds,Fold_ID
0.78,0.7073170731707317,0.7435897435897436,0.725,0.8549810844892811,0.8057475693345798,Logistic Regression,5,1
0.8,0.7317073170731707,0.7692307692307693,0.75,0.9129886506935687,0.8783063306119034,Logistic Regression,5,2
0.82,0.75,0.7894736842105263,0.7692307692307693,0.8696943972835314,0.7713623760325727,Logistic Regression,5,3
0.79,0.6808510638297872,0.8421052631578947,0.7529411764705882,0.8635398981324278,0.785776115675582,Logistic Regression,5,4
0.76,0.6590909090909091,0.7631578947368421,0.7073170731707317,0.8391341256366722,0.7638282997913506,Logistic Regression,5,5
0.73,0.7,0.5384615384615384,0.6086956521739131,0.8045397225725094,0.7487222467607085,Random Forest,5,1
0.81,0.7941176470588235,0.6923076923076923,0.7397260273972602,0.8778898696931484,0.7500421612651273,Random Forest,5,2
0.81,0.7878787878787878,0.6842105263157895,0.7323943661971831,0.8764855687606112,0.7807386172251796,Random Forest,5,3
0.78,0.7352941176470589,0.6578947368421053,0.6944444444444444,0.8240662139219015,0.6888664149134625,Random Forest,5,4
0.72,0.6388888888888888,0.6052631578947368,0.6216216216216216,0.8092105263157895,0.729559591423287,Random Forest,5,5
0.75,0.6666666666666666,0.717948717948718,0.691358024691358,0.8007566204287516,0.7390217592534087,SVM,5,1
0.78,0.717948717948718,0.717948717948718,0.717948717948718,0.8860865910046238,0.7820180189718869,SVM,5,2
0.79,0.6888888888888889,0.8157894736842105,0.7469879518072289,0.8896434634974533,0.8198652680150631,SVM,5,3
0.79,0.673469387755102,0.868421052631579,0.7586206896551724,0.859295415959253,0.7852020773265244,SVM,5,4
0.77,0.6923076923076923,0.7105263157894737,0.7012987012987013,0.8370118845500849,0.7649926807123923,SVM,5,5
0.75,0.7333333333333333,0.5641025641025641,0.6376811594202898,0.8070617906683482,0.7681960385105968,HistGradientBoosting,5,1
0.78,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.8650693568726355,0.7433982188237142,HistGradientBoosting,5,2
0.77,0.6923076923076923,0.7105263157894737,0.7012987012987013,0.8340407470288626,0.7053335922784274,HistGradientBoosting,5,3
0.75,0.6666666666666666,0.6842105263157895,0.6753246753246753,0.8045415959252972,0.6636433069766154,HistGradientBoosting,5,4
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8382852292020374,0.6998031211915603,HistGradientBoosting,5,5
0.8,0.7777777777777778,0.7,0.7368421052631579,0.8733333333333333,0.8250532501084284,Logistic Regression,10,1
0.76,0.6818181818181818,0.75,0.7142857142857143,0.8366666666666667,0.8023207382586183,Logistic Regression,10,2
0.84,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.9405772495755518,0.9182063880627622,Logistic Regression,10,3
0.76,0.7058823529411765,0.631578947368421,0.6666666666666666,0.8862478777589133,0.829245286626203,Logistic Regression,10,4
0.8,0.68,0.8947368421052632,0.7727272727272727,0.8573853989813243,0.7515974802156578,Logistic Regression,10,5
0.84,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.8828522920203735,0.7515239226079922,Logistic Regression,10,6
0.76,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.8268251273344652,0.7480094655063745,Logistic Regression,10,7
0.82,0.7272727272727273,0.8421052631578947,0.7804878048780488,0.9015280135823429,0.8342779091664947,Logistic Regression,10,8
0.78,0.6818181818181818,0.7894736842105263,0.7317073170731707,0.8607809847198642,0.7820622313422054,Logistic Regression,10,9
0.72,0.6190476190476191,0.6842105263157895,0.65,0.830220713073005,0.7491038247012025,Logistic Regression,10,10
0.78,0.9090909090909091,0.5,0.6451612903225806,0.7633333333333333,0.763115311251823,Random Forest,10,1
0.78,0.8,0.6,0.6857142857142857,0.8233333333333334,0.7718054484292007,Random Forest,10,2
0.84,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9422750424448217,0.9035586374681208,Random Forest,10,3
0.78,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8488964346349746,0.7209016831610735,Random Forest,10,4
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8480475382003395,0.7303824905799838,Random Forest,10,5
0.82,0.8125,0.6842105263157895,0.7428571428571429,0.8955857385398981,0.7853410962157679,Random Forest,10,6
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7733446519524618,0.6803462106917272,Random Forest,10,7
0.82,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8828522920203735,0.7978828245610698,Random Forest,10,8
0.78,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.8803056027164686,0.8442672442777044,Random Forest,10,9
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7835314091680816,0.6587948480424762,Random Forest,10,10
0.76,0.75,0.6,0.6666666666666666,0.8133333333333332,0.792953174850841,SVM,10,1
0.78,0.6956521739130435,0.8,0.7441860465116279,0.8033333333333333,0.7626775946245106,SVM,10,2
0.84,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.9168081494057725,0.8074554711073312,SVM,10,3
0.7,0.625,0.5263157894736842,0.5714285714285714,0.8488964346349746,0.7288513351285242,SVM,10,4
0.76,0.64,0.8421052631578947,0.7272727272727273,0.8556876061120544,0.7614813053056495,SVM,10,5
0.84,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.932937181663837,0.896924032137095,SVM,10,6
0.76,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.8047538200339558,0.7144649449531009,SVM,10,7
0.84,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.9303904923599321,0.8976605158830131,SVM,10,8
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8370118845500849,0.7516856429471197,SVM,10,9
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8421052631578947,0.7805577090696147,SVM,10,10
0.72,0.7142857142857143,0.5,0.5882352941176471,0.7666666666666667,0.7362050532853743,HistGradientBoosting,10,1
0.7,0.631578947368421,0.6,0.6153846153846154,0.7816666666666667,0.7375529838024245,HistGradientBoosting,10,2
0.8,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.9049235993208828,0.8051986570843503,HistGradientBoosting,10,3
0.72,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.8471986417657046,0.6715976204402424,HistGradientBoosting,10,4
0.78,0.6818181818181818,0.7894736842105263,0.7317073170731707,0.8556876061120543,0.7743018799839341,HistGradientBoosting,10,5
0.78,0.75,0.631578947368421,0.6857142857142857,0.8641765704584041,0.7527103892070488,HistGradientBoosting,10,6
0.72,0.6086956521739131,0.7368421052631579,0.6666666666666666,0.7300509337860781,0.5682891491348372,HistGradientBoosting,10,7
0.76,0.7058823529411765,0.631578947368421,0.6666666666666666,0.864176570458404,0.8149262122438468,HistGradientBoosting,10,8
0.76,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.8692699490662139,0.8154889732622883,HistGradientBoosting,10,9
0.7,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.7894736842105263,0.5942035258769743,HistGradientBoosting,10,10
